GEO_ID,B12503_001E,B12503_001M,B12503_002E,B12503_002M,B12503_003E,B12503_003M,B12503_004E,B12503_004M,B12503_005E,B12503_005M,B12503_006E,B12503_006M,B12503_007E,B12503_007M,B12503_008E,B12503_008M,B12503_009E,B12503_009M,B12503_010E,B12503_010M,B12503_011E,B12503_011M,NAME,B12503_001EA,B12503_001MA,B12503_002MA,B12503_002EA,B12503_003MA,B12503_003EA,B12503_004EA,B12503_004MA,B12503_005MA,B12503_005EA,B12503_006EA,B12503_006MA,B12503_007MA,B12503_007EA,B12503_008EA,B12503_008MA,B12503_009MA,B12503_009EA,B12503_010MA,B12503_010EA,B12503_011EA,B12503_011MA,state
0400000US42,10589716,3137,5130670,3395,1894997,15100,3235673,14827,35486,2888,3200187,15154,5459046,3257,1680326,14428,3778720,14331,39881,3271,3738839,13721,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,882671,980,422625,1531,169660,4642,252965,4952,1883,673,251082,4969,460046,1108,156845,4623,303201,4468,2520,589,300681,4313,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,3994825,2795,1925137,3505,686262,10022,1238875,9505,17155,2309,1221720,9649,2069688,2715,617198,7940,1452490,8252,18025,2561,1434465,8754,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,682834,1699,341300,2266,117004,3903,224296,3487,1921,565,222375,3599,341534,1636,90365,3720,251169,3952,3139,908,248030,3959,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,5363257,3504,2586068,4343,853883,8788,1732185,9007,23189,2339,1708996,9347,2777189,3597,761623,9775,2015566,9644,25696,2792,1989870,9854,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,21446565,6474,10558177,7251,3804642,23611,6753535,23763,91974,5092,6661561,24195,10888388,6858,3218567,22639,7669821,22208,106445,5418,7563376,21382,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,2228373,1702,1111888,2246,368608,7527,743280,7407,8993,1778,734287,7585,1116485,2026,298417,6166,818068,5933,11611,1685,806457,6087,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,529124,799,258397,1099,90669,2844,167728,2707,2220,730,165508,2878,270727,1055,77155,2527,193572,2533,2230,648,191342,2570,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,6826858,3972,3331211,3999,1176452,13081,2154759,12884,26538,2440,2128221,13038,3495647,4268,1034617,11899,2461030,11341,30819,2649,2430211,11274,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,5828814,2036,2900227,3111,1011260,11377,1888967,11484,26322,2650,1862645,11024,2928587,3361,809690,10793,2118897,10158,27952,2972,2090945,10570,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,1531879,1868,750821,2249,234873,5625,515948,5338,8995,1592,506953,5628,781058,2198,191746,5529,589312,5005,8317,1714,580995,5007,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,4703887,2587,2321002,2711,821652,7795,1499350,7687,16408,1714,1482942,7999,2382885,2747,689612,7157,1693273,6819,15253,1733,1678020,6774,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,468057,2660,234851,2229,72489,3360,162362,3127,2406,771,159956,3140,233206,2615,58703,3957,174503,3270,3626,1024,170877,3252,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,2880600,1046,1349963,2484,589872,8226,760091,7792,8109,1362,751982,7862,1530637,2456,555020,9185,975617,8757,10590,1784,965027,9050,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
